Time yearly_transpiration_mm yearly_evaporation_mm yearly_Psi_LSymMin yearly_Psi_LSymMax yearly_Psi_LApoMin yearly_Psi_LApoMax yearly_Psi_SSymMin yearly_Psi_SSymMax yearly_Psi_SApoMin yearly_Psi_SApoMax yearly_PLC_Leaf_max yearly_PLC_Stem_max yearly_LFMC_min yearly_FMCCanopy_min yearly_dayOfDeath yearly_dayOfStomatalClosure 
2075 233.6071 37.6909 -6.841559 0 -6.789642 0 -6.875568 0 -6.754383 0 61.48084 60.47413 37.33249 28.23688 NA 170 
2076 295.1212 28.81635 -4.504883 0 -4.470908 0 -4.510748 0 -4.453921 0 0 0 73.2972 73.2972 NA 199 
2077 296.378 31.62216 -4.300604 0 -4.275795 0 -4.304503 0 -4.263391 0 0 0 74.87882 74.87882 NA 188 
2078 188.0438 28.59775 -7.136027 0 -7.092627 0 -7.140195 0 -7.033109 0 69.65985 68.12953 33.15616 17.94287 NA 179 
2079 348.9754 35.64248 -3.312036 0 -3.19457 0 -3.175425 0 -3.149125 0 0 0 85.28937 85.28937 NA 168 
2080 324.3251 33.15051 -3.70345 0 -3.643613 0 -3.667241 0 -3.613695 0 0 0 80.50278 80.50278 NA 181 
2081 299.4378 28.29673 -4.84252 0 -4.808124 0 -4.85154 0 -4.791003 0 0 0 70.97561 70.97561 NA 197 
2082 121.6447 13.3292 -7.719944 0 -7.660498 0 -7.617889 0 -7.522881 0 81.94458 79.37135 26.6761 13.15786 199 134 
2083 242.3749 42.51597 -5.952107 0 -5.950209 0 -5.908676 0 -5.948803 0 36.82458 36.78536 50.47133 46.1471 NA 1 
2084 240.6314 25.52691 -5.873965 0 -5.860265 0 -5.892337 0 -5.855236 0 0 0 65.53641 65.53641 NA 192 
2085 215.0933 35.01148 -6.898493 0 -6.746538 0 -6.699761 0 -6.595512 0 60.24887 55.83861 37.64433 21.42605 NA 176 
2086 314.2906 32.00018 -4.295713 0 -4.266615 0 -4.307148 0 -4.252159 0 0 0 74.91853 74.91853 NA 209 
